iterations,recipe,numofagents,meanoptimalcount,meanoptimalkmin,meanoptimalkmax,gftformula,meanauctioncount,meanauctionkmin,meanauctionkmax,countratio,kminauctionratio,kmaxauctionratio,meanoptimalgft,meanauctiontotalgft,totalgftratio
100,[0- [1- None- 2- [3- None]]],2,1.14,1.03,1.03,2.912,0.46,0.46,0.46,40.35,44.66,44.66,483.7,268.0,55.416000000000004
100,[0- [1- None- 2- [3- None]]],4,2.44,1.5,1.86,33.333,1.54,1.34,1.39,63.11,89.33,74.73,1053.0,856.6,81.347
100,[0- [1- None- 2- [3- None]]],6,3.54,1.7,2.64,41.176,2.62,1.75,2.12,74.01,102.94,80.3,1586.7,1426.7,89.919
100,[0- [1- None- 2- [3- None]]],10,5.84,2.07,4.11,51.69,4.93,1.99,3.65,84.41,96.13,88.8,2744.0,2619.4,95.458
100,[0- [1- None- 2- [3- None]]],16,9.69,2.8,6.89,64.285,8.73,2.61,6.45,90.09,93.21,93.61,4580.6,4506.6,98.384
100,[0- [1- None- 2- [3- None]]],26,15.49,5.24,10.25,80.916,14.46,4.62,9.84,93.35,88.16,96.0,7565.0,7513.7,99.32
100,[0- [1- None- 2- [3- None]]],50,29.74,9.74,20.0,89.73299999999999,28.73,9.14,19.59,96.6,93.83,97.95,14790.9,14756.6,99.76700000000001
100,[0- [1- None- 2- [3- None]]],100,60.04,19.65,40.39,94.91,58.96,19.01,39.95,98.2,96.74,98.91,29806.8,29789.3,99.941
100,[0- [1- None- 2- [3- None]]],500,300.51,99.92,200.59,98.999,299.48,99.27,200.21,99.65,99.34,99.81,150241.6,150238.3,99.99700000000001
100,[0- [1- None- 2- [3- None]]],1000,600.09,199.06,401.03,99.49700000000001,599.15,198.53,400.62,99.84,99.73,99.89,300184.4,300182.9,99.999
1000,[0- [1- None- 2- [3- None]]],2,1.11,0.99,0.99,0.000,0.45,0.45,0.45,41.09,45.88,45.88,439.6,248.3,56.488
1000,[0- [1- None- 2- [3- None]]],4,2.37,1.46,1.81,31.833,1.49,1.30,1.34,62.80,88.95,74.21,1064.4,844.6,79.350
1000,[0- [1- None- 2- [3- None]]],6,3.47,1.57,2.52,36.668,2.56,1.74,2.11,73.69,110.19,83.78,1610.0,1430.3,88.837
1000,[0- [1- None- 2- [3- None]]],10,5.90,1.97,4.12,49.469,4.89,1.97,3.69,82.90,99.84,89.47,2771.2,2634.3,95.060
1000,[0- [1- None- 2- [3- None]]],16,9.51,3.04,6.48,67.116,8.54,2.58,6.08,89.76,85.07,93.80,4612.8,4521.2,98.012
1000,[0- [1- None- 2- [3- None]]],26,15.55,5.01,10.53,80.063,14.57,4.42,10.14,93.69,88.17,96.31,7585.9,7529.8,99.260
1000,[0- [1- None- 2- [3- None]]],50,29.95,9.87,20.07,89.874,28.96,9.28,19.67,96.67,93.99,97.99,14762.6,14732.0,99.792
1000,[0- [1- None- 2- [3- None]]],100,60.14,19.94,40.20,94.985,59.14,19.33,39.81,98.33,96.92,99.03,29828.9,29812.8,99.946
1000,[0- [1- None- 2- [3- None]]],500,299.80,99.73,200.07,98.997,298.82,99.14,199.67,99.67,99.40,99.80,149428.2,149425.0,99.997
1000,[0- [1- None- 2- [3- None]]],1000,599.92,199.21,400.71,99.498,598.93,198.61,400.31,99.83,99.70,99.90,299530.3,299528.6,99.999
