iterations,recipe,numofagents,meanoptimalcount,meanoptimalkmin,meanoptimalkmax,gftformula,meanauctioncount,countratio,meanoptimalgft,meanauctiontotalgft,totalgftratio
10000,[0- [1- None- 2- [3- None]]],2,1.1,1.0,1.0,0.338,0.4,41.337,455.0,257.9,56.693
10000,[0- [1- None- 2- [3- None]]],4,2.3,1.4,1.7,18.403,1.4,62.760,1040.1,828.3,79.636
10000,[0- [1- None- 2- [3- None]]],6,3.5,1.5,2.5,22.591,2.5,73.100,1618.3,1429.8,88.351
10000,[0- [1- None- 2- [3- None]]],10,5.9,1.9,4.1,33.222,4.9,83.238,2828.4,2689.8,95.098
10000,[0- [1- None- 2- [3- None]]],16,9.5,3.0,6.5,50.651,8.5,89.497,4603.6,4512.5,98.021
10000,[0- [1- None- 2- [3- None]]],26,15.5,5.0,10.5,66.719,14.5,93.555,7586.7,7529.0,99.239
10000,[0- [1- None- 2- [3- None]]],50,29.9,9.8,20.0,81.616,28.9,96.630,14800.3,14768.9,99.787
10000,[0- [1- None- 2- [3- None]]],100,59.9,19.8,40.0,90.403,58.9,98.330,29785.1,29769.3,99.947
10000,[0- [1- None- 2- [3- None]]],500,299.8,99.6,200.1,98.013,298.8,99.669,149580.9,149577.7,99.997
10000,[0- [1- None- 2- [3- None]]],1000,599.6,199.3,400.3,99.001,598.6,99.832,299324.4,299322.8,99.999
