iterations,recipe,numofagents,meanoptimalcount,meanoptimalkmin,meanoptimalkmax,gftformula,meanauctioncount,meanauctionkmin,meanauctionkmax,countratio,kminauctionratio,kmaxauctionratio,meanoptimalgft,meanauctiontotalgft,totalgftratio
1000,[0- [1- None- 2- [3- None]]],2,1.13,1.005,1.005,0.4975124378109347,0.462,0.0,0.462,40.884955752212385,0.0,45.97014925373134,448.8169566346504,250.775357875527,55.87475120278603
1000,[0- [1- None- 2- [3- None]]],4,2.349,1.474,1.819,32.15739484396201,1.468,0.141,1.327,62.49467858663261,9.565807327001357,72.95217152281474,1053.1075859366167,837.2975364710322,79.50731223024601
1000,[0- [1- None- 2- [3- None]]],6,3.518,1.58,2.532,36.708860759493675,2.61,0.498,2.112,74.18988061398521,31.518987341772153,83.41232227488152,1628.184373712018,1451.0265952343927,89.11930483193792
1000,[0- [1- None- 2- [3- None]]],10,5.946,1.959,4.144,48.95354772843288,4.944,1.228,3.716,83.14833501513623,62.68504338948443,89.67181467181467,2821.0047552947567,2683.152460900011,95.11336185676362
1000,[0- [1- None- 2- [3- None]]],16,9.561,3.01,6.581,66.77740863787375,8.561,2.397,6.164,89.54084300805356,79.63455149501661,93.66357696398724,4619.565359001285,4529.990574029527,98.06096942005115
1000,[0- [1- None- 2- [3- None]]],26,15.585,5.085,10.5,80.33431661750245,14.589,4.501,10.088,93.60923965351299,88.51524090462144,96.07619047619048,7646.624731530613,7588.3178931050215,99.23748267408541
1000,[0- [1- None- 2- [3- None]]],50,29.836,9.773,20.063,89.76772741225825,28.852,9.198,19.654,96.70197077356214,94.1164432620485,97.96142152220504,14761.128906560883,14730.978791342382,99.79574654886254
1000,[0- [1- None- 2- [3- None]]],100,59.931,19.75,40.181,94.9367088607595,58.924,19.155,39.769,98.31973436118201,96.98734177215191,98.97463975510814,29720.207377584393,29704.36535354936,99.94669611879297
1000,[0- [1- None- 2- [3- None]]],500,300.046,99.978,200.068,98.99977995158935,299.079,99.409,199.67,99.67771608353387,99.43087479245433,99.80106763700341,149648.50473280682,149645.41562625542,99.99793575849158
1000,[0- [1- None- 2- [3- None]]],1000,600.178,199.646,400.532,99.49911343077247,599.167,199.035,400.132,99.83154997350786,99.69395830620198,99.90013282334496,299645.3689203274,299643.7922435442,99.99947381907187
