iterations,recipe,numofagents,meanoptimalcount,meanoptimalkmin,meanoptimalkmax,gftformula,meanauctioncount,meanauctionkmin,meanauctionkmax,countratio,kminauctionratio,kmaxauctionratio,meanoptimalgft,meanauctiontotalgft,totalgftratio
1000,[0- [1- None- 2- [3- None]]],2,1.13,1.01,1.01,0.49,0.46,0.00,0.46,40.88,0.00,45.97,448.81,250.77,55.874
1000,[0- [1- None- 2- [3- None]]],4,2.34,1.47,1.81,32.15,1.46,0.14,1.32,62.49,9.56,72.95,1053.10,837.29,79.507
1000,[0- [1- None- 2- [3- None]]],6,3.51,1.58,2.53,36.70,2.61,0.49,2.11,74.18,31.51,83.41,1628.18,1451.02,89.119
1000,[0- [1- None- 2- [3- None]]],10,5.94,1.95,4.14,48.95,4.94,1.22,3.71,83.14,62.68,89.67,2821.00,2683.15,95.113
1000,[0- [1- None- 2- [3- None]]],16,9.56,3.01,6.58,66.77,8.56,2.39,6.16,89.54,79.63,93.66,4619.56,4529.99,98.060
1000,[0- [1- None- 2- [3- None]]],26,15.58,5.08,10.50,80.33,14.58,4.50,10.08,93.60,88.51,96.07,7646.62,7588.31,99.237
1000,[0- [1- None- 2- [3- None]]],50,29.83,9.77,20.06,89.76,28.85,9.19,19.65,96.70,94.11,97.96,14761.12,14730.97,99.795
1000,[0- [1- None- 2- [3- None]]],100,59.93,19.75,40.18,94.93,58.92,19.15,39.76,98.31,96.98,98.97,29720.20,29704.36,99.946
1000,[0- [1- None- 2- [3- None]]],500,300.04,99.97,200.06,98.99,299.07,99.40,199.67,99.67,99.43,99.80,149648.50,149645.41,99.997
1000,[0- [1- None- 2- [3- None]]],1000,600.17,199.64,400.53,99.49,599.16,199.03,400.13,99.83,99.69,99.90,299645.36,299643.79,99.999
