stockname,recipe,numpossibletrades,optimalkmin,optimalkmax,gftformula,optimalcount,optimalgft,auctioncount,countratio,gft,gftratio
Average,[0-> [1-> None-> 2-> [3-> None]]],2,1.00,1.00,0.05,1.10,110744.0,0.48,37.49,60037.3,43.615
Average,[0-> [1-> None-> 2-> [3-> None]]],4,1.55,1.83,35.79,2.27,230550.6,1.49,64.96,194527.2,80.632
Average,[0-> [1-> None-> 2-> [3-> None]]],6,1.89,2.67,47.30,3.44,351738.2,2.58,74.61,326050.7,90.729
Average,[0-> [1-> None-> 2-> [3-> None]]],10,2.45,4.32,59.31,5.79,596090.2,4.85,83.59,580402.0,96.298
Average,[0-> [1-> None-> 2-> [3-> None]]],16,3.35,6.79,70.18,9.31,955253.2,8.34,89.47,945484.0,98.477
Average,[0-> [1-> None-> 2-> [3-> None]]],26,5.05,10.90,80.21,15.19,1561601.7,14.20,93.43,1555658.0,99.398
Average,[0-> [1-> None-> 2-> [3-> None]]],50,9.47,20.77,89.44,29.30,3022298.4,28.30,96.57,3019100.0,99.831
Average,[0-> [1-> None-> 2-> [3-> None]]],100,18.82,41.30,94.68,58.68,6069343.6,57.67,98.26,6067669.4,99.954
Average,[0-> [1-> None-> 2-> [3-> None]]],500,90.22,205.92,98.89,293.93,30386591.0,292.815,99.61,30386085.7,99.997
Average,[0-> [1-> None-> 2-> [3-> None]]],1000,176.64,411.89,99.43,588.09,60815811.1,586.86,99.78,60815480.9,99.999
