stockname,recipe,numpossibletrades,optimalkmin,optimalkmax,gftformula,optimalcount,optimalgft,auctioncount,countratio,gft,gftratio
Average,[0-> [1-> None-> 2-> [3-> None]]],2,1.0,1.0,0.148,1.1,106537.5,0.4,37.418,58327.9,43.590
Average,[0-> [1-> None-> 2-> [3-> None]]],4,1.5,1.8,21.974,2.2,226790.5,1.4,64.798,190137.3,80.535
Average,[0-> [1-> None-> 2-> [3-> None]]],6,1.8,2.6,31.017,3.4,347168.4,2.5,74.521,320737.8,90.608
Average,[0-> [1-> None-> 2-> [3-> None]]],10,2.4,4.3,42.214,5.7,587655.1,4.8,83.569,571730.1,96.287
Average,[0-> [1-> None-> 2-> [3-> None]]],16,3.3,6.7,54.128,9.3,949299.2,8.3,89.456,939403.0,98.470
Average,[0-> [1-> None-> 2-> [3-> None]]],26,5.0,10.9,66.950,15.1,1552020.2,14.2,93.445,1545894.5,99.401
Average,[0-> [1-> None-> 2-> [3-> None]]],50,9.4,20.7,80.937,29.3,2999792.8,28.3,96.570,2996500.6,99.830
Average,[0-> [1-> None-> 2-> [3-> None]]],100,18.8,41.3,89.920,58.7,6020392.8,57.7,98.259,6018601.2,99.953
Average,[0-> [1-> None-> 2-> [3-> None]]],500,90.2,205.9,97.807,293.9,30166955.7,292.8,99.617,30166450.4,99.997
Average,[0-> [1-> None-> 2-> [3-> None]]],1000,176.7,411.8,98.874,588.0,60362615.7,586.8,99.790,60362333.1,99.999
