iterations,recipe,numofagents,meanoptimalcount,meanoptimalkmin,meanoptimalkmax,gftformula,meanauctioncount,countratio,meanoptimalgft,meanauctiontotalgft,totalgftratio
5000,[0- [1- None- 2- [3- None]]],2,0.9998,0.8324,0.8324,0,0.2752,27.525505101020205,737.6043298915502,294.8425666442547,39.97299835368447
5000,[0- [1- None- 2- [3- None]]],4,1.995,1.1282,1.3486,6.023869937035997,1.136,56.942355889724304,1698.4464538958737,1263.3157780291838,74.38066564485487
5000,[0- [1- None- 2- [3- None]]],6,2.9988,1.3194,1.9332,13.770802793825986,2.1234,70.80832332933173,2698.4549978891328,2351.192474987439,87.1310611748819
5000,[0- [1- None- 2- [3- None]]],10,5.0116,2.005,3.075,33.44425956738768,4.1442,82.69215420225078,4667.784250954131,4441.707408079649,95.1566561194796
5000,[0- [1- None- 2- [3- None]]],16,7.9992,3.3118,4.6944,53.61565935340229,7.1278,89.1064106410641,7666.871732699456,7514.0097282037195,98.00620109706838
5000,[0- [1- None- 2- [3- None]]],26,13.0354,5.6216,7.4138,69.79581974145222,12.1642,93.31666078524633,12686.177149387036,12589.836369117782,99.24058462108178
5000,[0- [1- None- 2- [3- None]]],50,24.9986,11.2524,13.7462,83.67666742842219,24.1198,96.48460313777572,24607.705058131505,24552.86847459446,99.77715685632812
5000,[0- [1- None- 2- [3- None]]],100,50.0282,23.2866,26.7416,91.76500621742031,49.1784,98.30135803406878,49657.89894131721,49631.71177337318,99.94726484909285
5000,[0- [1- None- 2- [3- None]]],500,249.7428,120.9904,128.7524,98.3605267299722,248.8836,99.65596605788035,249118.25522698756,249112.91769900837,99.99785743201585
5000,[0- [1- None- 2- [3- None]]],1000,499.956,244.5084,255.4476,99.18536392237496,499.0696,99.82270439798702,499072.3879875184,499069.5397090443,99.99942928550193
5000,[0- [1- None- 2- [3- None]]],2000,999.974,492.2944,507.6796,99.59456259791313,999.1088,99.9134777504215,998585.284319168,998583.9272096262,99.99986409678141
5000,[0- [1- None- 2- [3- None]]],5000,2499.6128,1237.522,1262.0908,99.8385172003404,2498.7358,99.96491456596797,2496312.015822458,2496311.469548879,99.99997811677486
