stockname,recipe,numpossibletrades,optimalkmin,optimalkmax,gftformula,optimalcount,optimalgft,auctioncount,countratio,gft,gftratio
Average,[0-> [1-> None-> 2-> [3-> None]]],2,0.8148606060606061,0.8148606060606061,0,0.9625212121212122,187842.02675757575,0.2780848484848485,23.175757575757576,69886.30486060606,25.903745299120235
Average,[0-> [1-> None-> 2-> [3-> None]]],4,1.1334969696969697,1.3389212121212122,6.257190499592359,1.956460606060606,417431.0918303031,1.0966787878787878,53.967676767683656,308329.1117151515,68.29987073786276
Average,[0-> [1-> None-> 2-> [3-> None]]],6,1.3158,1.923181818181818,13.636756196562743,2.952,645552.2840242424,2.0554848484848485,68.61235353533668,565059.3542181818,85.64038369206058
Average,[0-> [1-> None-> 2-> [3-> None]]],10,1.9718848484848484,3.038993939393939,32.702641523285905,4.946006060606061,1102389.679769697,4.043315151515151,81.38557647909627,1055998.711169697,95.20251507264086
Average,[0-> [1-> None-> 2-> [3-> None]]],16,3.262981818181818,4.6796181818181815,53.08448205268186,7.937309090909091,1786208.471781818,7.041472727272728,88.59065384951238,1759075.2220909093,98.22138698961692
Average,[0-> [1-> None-> 2-> [3-> None]]],26,5.559690909090909,7.362854545454546,69.51075854460991,12.922545454545455,2925679.785369697,12.031527272727272,93.06163773202245,2909873.2527939393,99.33829757182643
Average,[0-> [1-> None-> 2-> [3-> None]]],50,11.207412121212121,13.697848484848485,83.61651118073819,24.905260606060605,5659537.778690909,24.016727272727273,96.42129186123856,5651363.604193939,99.82356089837346
Average,[0-> [1-> None-> 2-> [3-> None]]],100,23.184921212121214,26.68458181818182,91.73038447196751,49.86950303030303,11375705.50269091,48.972042424242424,98.19778098189305,11371520.200866668,99.95535510929783
Average,[0-> [1-> None-> 2-> [3-> None]]],500,120.91072121212122,128.67089090909093,98.35945519793944,249.58161212121212,57017850.4996,248.63437575757578,99.62035010069876,57017007.20014546,99.99815058202422
Average,[0-> [1-> None-> 2-> [3-> None]]],1000,244.13594545454546,255.1335090909091,99.18412618096808,499.2694545454546,114096660.24394546,498.2637212121212,99.79851323795928,114096220.74503635,99.99951814107001
Average,[0-> [1-> None-> 2-> [3-> None]]],2000,491.57403030303027,507.1352,99.59396966202834,998.7092303030303,228188100.22821212,997.5863212121213,99.88754390837438,228187833.4038,99.99987012487942
Average,[0-> [1-> None-> 2-> [3-> None]]],5000,1229.2078606060606,1253.5653575757576,99.83742584777383,2482.7732181818183,569111341.1311333,2481.3558,99.94297900053891,569111126.1395091,99.999971330932
