stockname,recipe,numpossibletrades,optimalkmin,optimalkmax,gftformula,optimalcount,optimalgft,auctioncount,countratio,gft,gftratio
Average,[0-> [1-> None-> 2-> [3-> None]]],2,0.81,0.81,0.000,0.9,187842.0,0.2,23.175,69886.3,25.903
Average,[0-> [1-> None-> 2-> [3-> None]]],4,1.13,1.33,6.257,1.9,417431.0,1.0,53.967,308329.1,68.299
Average,[0-> [1-> None-> 2-> [3-> None]]],6,1.31,1.92,13.636,2.9,645552.2,2.0,68.612,565059.3,85.640
Average,[0-> [1-> None-> 2-> [3-> None]]],10,1.97,3.03,32.702,4.9,1102389.6,4.0,81.385,1055998.7,95.202
Average,[0-> [1-> None-> 2-> [3-> None]]],16,3.26,4.67,53.084,7.9,1786208.4,7.0,88.590,1759075.2,98.221
Average,[0-> [1-> None-> 2-> [3-> None]]],26,5.55,7.36,69.510,12.9,2925679.7,12.0,93.061,2909873.2,99.338
Average,[0-> [1-> None-> 2-> [3-> None]]],50,11.20,13.69,83.616,24.9,5659537.7,24.0,96.421,5651363.6,99.823
Average,[0-> [1-> None-> 2-> [3-> None]]],100,23.18,26.68,91.730,49.8,11375705.5,48.9,98.197,11371520.2,99.955
Average,[0-> [1-> None-> 2-> [3-> None]]],500,120.91,128.67,98.359,249.5,57017850.4,248.6,99.620,57017007.2,99.998
Average,[0-> [1-> None-> 2-> [3-> None]]],1000,244.13,255.13,99.184,499.2,114096660.2,498.2,99.798,114096220.7,99.999
Average,[0-> [1-> None-> 2-> [3-> None]]],2000,491.57,507.13,99.593,998.7,228188100.2,997.5,99.887,228187833.4,99.999
Average,[0-> [1-> None-> 2-> [3-> None]]],5000,1229.20,1253.56,99.837,2482.7,569111341.1,2481.3,99.942,569111126.1,99.999
