iterations,recipe,numofagents,meanoptimalcount,meanoptimalkmin,meanoptimalkmax,gftformula,meanauctioncount,meanauctionkmin,meanauctionkmax,countratio,kminauctionratio,kmaxauctionratio,meanoptimalgft,meanauctiontotalgft,totalgftratio
100,[0- [1- None- 2- [3- None]]],2,1.14,1.03,1.03,2.912,0.46,0.46,0.46,40.35,44.66,44.66,483.7,268.0,55.416
100,[0- [1- None- 2- [3- None]]],4,2.44,1.50,1.86,33.333,1.54,1.34,1.39,63.11,89.33,74.73,1053.0,856.6,81.347
100,[0- [1- None- 2- [3- None]]],6,3.54,1.70,2.64,41.176,2.62,1.75,2.12,74.01,102.94,80.30,1586.7,1426.7,89.919
100,[0- [1- None- 2- [3- None]]],10,5.84,2.07,4.11,51.690,4.93,1.99,3.65,84.41,96.13,88.80,2744.0,2619.4,95.458
100,[0- [1- None- 2- [3- None]]],16,9.69,2.80,6.89,64.285,8.73,2.61,6.45,90.09,93.21,93.61,4580.6,4506.6,98.384
100,[0- [1- None- 2- [3- None]]],26,15.49,5.24,10.25,80.916,14.46,4.62,9.84,93.35,88.16,96.00,7565.0,7513.7,99.320
100,[0- [1- None- 2- [3- None]]],50,29.74,9.74,20.00,89.733,28.73,9.14,19.59,96.60,93.83,97.95,14790.9,14756.6,99.767
100,[0- [1- None- 2- [3- None]]],100,60.04,19.65,40.39,94.910,58.96,19.01,39.95,98.20,96.74,98.91,29806.8,29789.3,99.941
100,[0- [1- None- 2- [3- None]]],500,300.51,99.92,200.59,98.999,299.48,99.27,200.21,99.65,99.34,99.81,150241.6,150238.3,99.997
100,[0- [1- None- 2- [3- None]]],1000,600.09,199.06,401.03,99.497,599.15,198.53,400.62,99.84,99.73,99.89,300184.4,300182.9,99.999
