stockname,recipe,numpossibletrades,optimalkmin,optimalkmax,gftformula,optimalcount,optimalgft,auctioncount,countratio,gft,gftratio
Average,[0-> [1-> None-> 2-> [3-> None]]],2,1.002969696969697,1.002969696969697,0.14826469787286028,1.112830303030303,106537.59608787879,0.4819727272727273,37.41848484848485,58327.95714848485,43.590435064929515
Average,[0-> [1-> None-> 2-> [3-> None]]],4,1.5632515151515152,1.8338242424242424,21.974102495291845,2.2752545454545454,226790.55064545455,1.4907151515151515,64.798939393949,190137.3288212121,80.53566602851897
Average,[0-> [1-> None-> 2-> [3-> None]]],6,1.8992848484848484,2.6699030303030304,31.017471393154423,3.4455515151515153,347168.46803636366,2.5762909090909094,74.52183333337253,320737.8656090909,90.60874414834052
Average,[0-> [1-> None-> 2-> [3-> None]]],10,2.461087878787879,4.325927272727273,42.21470040510997,5.79260303030303,587655.1510212121,4.849796969696969,83.56904978344721,571730.1277727273,96.28731440605404
Average,[0-> [1-> None-> 2-> [3-> None]]],16,3.3600121212121214,6.798024242424243,54.128567893889645,9.316784848484849,949299.227469697,8.342130303030302,89.45676026654255,939403.064390909,98.47010564077519
Average,[0-> [1-> None-> 2-> [3-> None]]],26,5.051530303030304,10.908851515151515,66.9505083863085,15.194860606060605,1552020.2794212122,14.204827272727274,93.44580506162579,1545894.5849666665,99.40134913798889
Average,[0-> [1-> None-> 2-> [3-> None]]],50,9.49180303030303,20.78141212121212,80.93749954870975,29.3214,2999792.862160606,28.31999090909091,96.57035948073569,2996500.6475454546,99.83036763557489
Average,[0-> [1-> None-> 2-> [3-> None]]],100,18.843042424242427,41.343242424242426,89.9209004484283,58.74231515151515,6020392.822384849,57.72413636363636,98.25993763618648,6018601.243684849,99.95388545070378
Average,[0-> [1-> None-> 2-> [3-> None]]],500,90.21704848484849,205.99143636363635,97.80742741272515,293.99648484848484,30166955.767624244,292.8777787878788,99.61780721726218,30166450.45661515,99.99724443260268
Average,[0-> [1-> None-> 2-> [3-> None]]],1000,176.7151,411.8631454545455,98.87460322730033,588.0336151515152,60362615.749751516,586.8084909090909,99.79064668020072,60362333.13544242,99.99916347443933
